Key;Row0;Row1;Row2;Row3;Row4;Row5;Row6;Row7;Row8;Row9;Row10;Row11;Row12;Row13;Row14;Row15;Row16;Row17;Row18;Row19;Row20;Row21;Row22;Row23;Row24;Row25;Row26;Row27;Row28;Row29;Row30;Row31;Row32;Row33;Row34;Row35;Row36;Row37;Row38;Row39;Row40;Row41;Row42;Row43;Row44;Row45;Row46;Row47;Row48;Row49;Row50;Row809;Row1072;Row5406;Row5872;Row15986;Row16003;Row17095;Row19697;Row20408;Row22591;Row23757;Row23789;Row27711;Row28345;Row33541;Row39842;Row41947;Row43388;Row47174;Row57524;Row60071;Row61146;Row63243;Row67469;Row73667;Row74675;Row77829;Row80879;Row81594;Row82887;Row83658;Row88321;Row89843;Row91459;Row92230;Row92281;Row95914;Row96914;Row105449;Row105915;Row106020;Row108151;Row111013;Row116110;Row117054;Row117918;Row121846;Row122408;Row123151;Row123362;Row127588;Row16_dup;Row45_dup;Row69;Row85;Row86;Row90;Row97;Row113;Row119;Row124;Row140;Row147;Row154;Row157;Row170;Row204;Row213;Row229;Row263;Row278;Row313;Row315;Row324;Row329;Row333;Row338;Row344;Row346;Row393;Row413;Row439;Row449;Row456;Row458;Row463;Row468;Row470;Row476;Row483;Row506;Row543;Row568;Row575;Row582;Row584;Row588;Row593;Row597;Row611;Row612;Row614;Row621;Row637
Row0;0.000;0.640;0.286;0.429;0.222;0.409;0.444;0.300;0.458;0.429;0.407;0.200;0.476;0.381;0.577;0.542;0.200;0.250;0.773;0.250;0.320;0.360;0.211;0.320;0.320;0.300;0.417;0.480;0.591;0.238;0.333;0.167;0.316;0.381;0.385;0.222;0.364;0.222;0.227;0.250;0.400;0.480;0.409;0.238;0.650;0.556;0.273;0.444;0.333;0.389;0.263;0.364;0.538;0.318;0.348;0.333;0.409;0.304;0.333;0.318;0.364;0.500;0.364;0.400;0.333;0.423;0.409;0.500;0.364;0.409;0.286;0.450;0.462;0.348;0.238;0.320;0.520;0.409;0.429;0.565;0.500;0.700;0.417;0.440;0.500;0.261;0.318;0.333;0.526;0.346;0.292;0.364;0.333;0.423;0.500;0.364;0.522;0.381;0.450;0.409;0.400;0.227;0.500;0.500;0.455;0.364;0.444;0.737;0.520;0.429;0.318;0.435;0.333;0.409;0.409;0.556;0.625;0.556;0.500;0.333;0.450;0.652;0.400;0.429;0.565;0.444;0.381;0.500;0.409;0.250;0.476;0.400;0.500;0.350;0.400;0.458;0.273;0.381;0.591;0.450;0.409;0.440;0.522;0.238;0.158;0.462;0.350;0.667;0.462;0.455;0.273;0.417;0.417;0.423;0.462
Row1;0.640;0.000;0.435;0.429;0.667;0.542;0.320;0.455;0.391;0.565;0.346;0.500;0.545;0.522;0.238;0.158;0.500;0.478;0.714;0.542;0.320;0.292;0.522;0.320;0.320;0.455;0.348;0.273;0.368;0.458;0.478;0.625;0.476;0.522;0.320;0.667;0.560;0.545;0.500;0.478;0.333;0.273;0.542;0.458;0.412;0.762;0.417;0.783;0.478;0.739;0.500;0.500;0.348;0.520;0.417;0.542;0.478;0.440;0.542;0.520;0.560;0.500;0.560;0.333;0.333;0.292;0.542;0.500;0.560;0.542;0.500;0.524;0.333;0.538;0.458;0.320;0.238;0.542;0.565;0.429;0.500;0.632;0.273;0.304;0.304;0.400;0.520;0.542;0.667;0.346;0.360;0.560;0.462;0.360;0.500;0.560;0.522;0.583;0.591;0.542;0.261;0.500;0.227;0.227;0.522;0.500;0.320;0.588;0.458;0.370;0.520;0.286;0.478;0.478;0.478;0.227;0.500;0.762;0.304;0.462;0.524;0.368;0.545;0.500;0.263;0.320;0.522;0.304;0.478;0.542;0.545;0.261;0.650;0.429;0.400;0.391;0.480;0.522;0.368;0.591;0.542;0.304;0.455;0.458;0.542;0.261;0.565;0.667;0.400;0.455;0.480;0.417;0.273;0.423;0.333
Row2;0.286;0.435;0.000;0.158;0.300;0.150;0.240;0.105;0.304;0.250;0.269;0.190;0.300;0.286;0.440;0.391;0.100;0.150;0.739;0.150;0.240;0.280;0.200;0.240;0.240;0.105;0.261;0.261;0.565;0.050;0.053;0.250;0.211;0.286;0.240;0.300;0.190;0.211;0.136;0.150;0.250;0.333;0.150;0.050;0.474;0.526;0.182;0.421;0.053;0.368;0.158;0.100;0.400;0.143;0.261;0.150;0.238;0.136;0.150;0.143;0.190;0.250;0.190;0.250;0.320;0.346;0.150;0.250;0.190;0.150;0.100;0.263;0.250;0.261;0.050;0.240;0.304;0.150;0.250;0.478;0.250;0.667;0.333;0.292;0.360;0.174;0.143;0.150;0.421;0.269;0.280;0.190;0.174;0.280;0.250;0.190;0.364;0.200;0.350;0.150;0.250;0.136;0.292;0.292;0.200;0.100;0.308;0.632;0.500;0.296;0.143;0.190;0.053;0.238;0.238;0.360;0.409;0.526;0.360;0.250;0.263;0.565;0.300;0.250;0.542;0.308;0.105;0.423;0.238;0.238;0.381;0.250;0.474;0.250;0.320;0.304;0.095;0.286;0.565;0.429;0.150;0.423;0.364;0.050;0.150;0.320;0.158;0.632;0.250;0.286;0.182;0.182;0.333;0.208;0.250
Row3;0.429;0.429;0.158;0.000;0.450;0.211;0.360;0.263;0.435;0.316;0.385;0.333;0.368;0.350;0.364;0.522;0.250;0.300;0.762;0.211;0.360;0.400;0.350;0.360;0.360;0.263;0.238;0.318;0.571;0.200;0.111;0.400;0.368;0.263;0.360;0.368;0.250;0.368;0.273;0.300;0.304;0.458;0.211;0.200;0.375;0.611;0.318;0.500;0.111;0.526;0.316;0.158;0.318;0.200;0.391;0.211;0.111;0.273;0.211;0.200;0.250;0.118;0.250;0.304;0.440;0.462;0.211;0.118;0.250;0.211;0.158;0.125;0.304;0.318;0.200;0.360;0.200;0.211;0.222;0.400;0.118;0.611;0.318;0.348;0.417;0.304;0.200;0.211;0.313;0.385;0.400;0.250;0.304;0.333;0.118;0.250;0.263;0.263;0.235;0.211;0.375;0.273;0.417;0.273;0.263;0.158;0.423;0.563;0.615;0.407;0.286;0.158;0.111;0.111;0.300;0.480;0.316;0.438;0.480;0.375;0.125;0.500;0.176;0.316;0.476;0.423;0.167;0.538;0.300;0.381;0.278;0.375;0.556;0.400;0.440;0.435;0.238;0.429;0.571;0.500;0.211;0.538;0.263;0.200;0.300;0.440;0.316;0.563;0.375;0.350;0.318;0.318;0.458;0.333;0.304
Row4;0.222;0.667;0.300;0.450;0.000;0.429;0.462;0.316;0.478;0.524;0.423;0.300;0.571;0.476;0.654;0.625;0.211;0.263;0.750;0.350;0.400;0.440;0.222;0.400;0.400;0.316;0.500;0.500;0.550;0.250;0.350;0.063;0.421;0.476;0.400;0.235;0.455;0.333;0.318;0.263;0.480;0.560;0.429;0.250;0.684;0.667;0.364;0.267;0.350;0.200;0.278;0.381;0.615;0.409;0.435;0.429;0.500;0.318;0.429;0.409;0.455;0.524;0.455;0.480;0.480;0.500;0.429;0.524;0.455;0.429;0.381;0.474;0.480;0.500;0.333;0.400;0.542;0.429;0.524;0.450;0.450;0.667;0.500;0.391;0.577;0.348;0.409;0.429;0.375;0.423;0.440;0.455;0.348;0.500;0.524;0.455;0.609;0.476;0.550;0.429;0.480;0.318;0.520;0.520;0.476;0.381;0.519;0.842;0.409;0.444;0.333;0.455;0.350;0.500;0.500;0.577;0.524;0.500;0.577;0.417;0.389;0.550;0.500;0.450;0.652;0.462;0.316;0.577;0.350;0.350;0.421;0.480;0.611;0.450;0.480;0.478;0.286;0.222;0.550;0.389;0.429;0.577;0.609;0.250;0.167;0.538;0.176;0.625;0.480;0.476;0.364;0.435;0.560;0.440;0.480
Row5;0.409;0.542;0.150;0.211;0.429;0.000;0.346;0.250;0.417;0.111;0.370;0.318;0.167;0.250;0.417;0.500;0.238;0.286;0.833;0.200;0.346;0.385;0.333;0.346;0.346;0.250;0.375;0.304;0.667;0.190;0.105;0.381;0.350;0.250;0.280;0.350;0.053;0.350;0.182;0.286;0.292;0.375;0.000;0.190;0.526;0.579;0.304;0.474;0.105;0.500;0.300;0.053;0.375;0.100;0.304;0.105;0.200;0.261;0.105;0.100;0.053;0.111;0.053;0.292;0.423;0.385;0.000;0.111;0.053;0.000;0.150;0.222;0.217;0.227;0.190;0.346;0.348;0.000;0.111;0.522;0.211;0.714;0.440;0.400;0.333;0.292;0.100;0.105;0.389;0.308;0.385;0.053;0.217;0.250;0.111;0.053;0.250;0.056;0.222;0.000;0.360;0.182;0.333;0.333;0.056;0.053;0.407;0.684;0.593;0.333;0.100;0.318;0.105;0.200;0.200;0.462;0.300;0.500;0.462;0.292;0.316;0.609;0.263;0.211;0.583;0.346;0.158;0.519;0.286;0.286;0.429;0.360;0.526;0.381;0.423;0.417;0.143;0.409;0.667;0.476;0.000;0.519;0.250;0.190;0.286;0.360;0.300;0.684;0.292;0.333;0.227;0.227;0.440;0.250;0.217
Row6;0.444;0.320;0.240;0.360;0.462;0.346;0.000;0.320;0.200;0.423;0.038;0.370;0.462;0.444;0.333;0.280;0.308;0.346;0.600;0.346;0.148;0.185;0.385;0.148;0.148;0.320;0.231;0.160;0.440;0.269;0.280;0.423;0.400;0.444;0.148;0.462;0.370;0.400;0.321;0.346;0.154;0.231;0.346;0.269;0.600;0.640;0.231;0.560;0.280;0.520;0.360;0.308;0.231;0.333;0.296;0.346;0.407;0.192;0.346;0.333;0.370;0.423;0.370;0.154;0.222;0.250;0.346;0.423;0.370;0.346;0.308;0.440;0.154;0.296;0.269;0.148;0.200;0.346;0.423;0.360;0.423;0.640;0.231;0.192;0.259;0.222;0.333;0.346;0.560;0.179;0.185;0.370;0.222;0.185;0.423;0.370;0.385;0.385;0.500;0.346;0.154;0.321;0.192;0.192;0.385;0.308;0.077;0.720;0.269;0.074;0.333;0.240;0.280;0.407;0.280;0.120;0.423;0.640;0.120;0.222;0.440;0.440;0.462;0.423;0.423;0.148;0.320;0.192;0.280;0.407;0.400;0.154;0.600;0.423;0.154;0.200;0.296;0.320;0.440;0.440;0.346;0.259;0.385;0.269;0.346;0.222;0.360;0.720;0.154;0.320;0.357;0.231;0.231;0.115;0.154
Row7;0.300;0.455;0.105;0.263;0.316;0.250;0.320;0.000;0.318;0.350;0.346;0.105;0.316;0.211;0.458;0.409;0.105;0.056;0.826;0.158;0.320;0.292;0.111;0.320;0.320;0.000;0.348;0.273;0.652;0.150;0.158;0.263;0.118;0.381;0.320;0.316;0.286;0.118;0.227;0.056;0.333;0.348;0.250;0.150;0.412;0.471;0.273;0.444;0.158;0.389;0.059;0.200;0.480;0.238;0.348;0.250;0.333;0.227;0.250;0.238;0.286;0.350;0.286;0.333;0.333;0.360;0.250;0.350;0.286;0.250;0.200;0.368;0.333;0.348;0.150;0.320;0.391;0.250;0.350;0.565;0.350;0.700;0.417;0.375;0.375;0.261;0.238;0.250;0.526;0.346;0.360;0.286;0.261;0.360;0.350;0.286;0.455;0.300;0.450;0.250;0.261;0.227;0.304;0.375;0.300;0.200;0.320;0.588;0.577;0.370;0.238;0.286;0.158;0.333;0.333;0.375;0.500;0.556;0.440;0.333;0.278;0.652;0.400;0.167;0.500;0.385;0.211;0.440;0.333;0.250;0.476;0.261;0.500;0.167;0.333;0.318;0.190;0.381;0.652;0.450;0.250;0.440;0.455;0.150;0.158;0.333;0.263;0.667;0.333;0.300;0.190;0.273;0.417;0.292;0.333
Row8;0.458;0.391;0.304;0.435;0.478;0.417;0.200;0.318;0.000;0.435;0.231;0.375;0.478;0.391;0.462;0.348;0.304;0.348;0.571;0.348;0.333;0.370;0.391;0.333;0.333;0.318;0.360;0.360;0.522;0.333;0.348;0.435;0.409;0.520;0.333;0.478;0.440;0.409;0.385;0.348;0.346;0.360;0.417;0.333;0.500;0.682;0.360;0.591;0.348;0.545;0.364;0.375;0.423;0.400;0.360;0.417;0.480;0.250;0.417;0.400;0.440;0.500;0.440;0.346;0.407;0.370;0.417;0.500;0.440;0.417;0.375;0.522;0.346;0.360;0.333;0.333;0.400;0.417;0.500;0.560;0.500;0.619;0.423;0.385;0.385;0.346;0.400;0.417;0.652;0.357;0.370;0.440;0.280;0.370;0.500;0.440;0.458;0.458;0.583;0.417;0.346;0.385;0.320;0.385;0.391;0.375;0.269;0.650;0.333;0.259;0.400;0.375;0.348;0.480;0.417;0.174;0.560;0.682;0.174;0.346;0.455;0.522;0.542;0.364;0.435;0.269;0.391;0.250;0.417;0.348;0.478;0.346;0.500;0.286;0.280;0.000;0.360;0.458;0.522;0.300;0.417;0.320;0.520;0.333;0.348;0.346;0.435;0.650;0.130;0.150;0.423;0.217;0.292;0.167;0.346
Row9;0.429;0.565;0.250;0.316;0.524;0.111;0.423;0.350;0.435;0.000;0.444;0.409;0.063;0.263;0.435;0.455;0.333;0.381;0.818;0.300;0.423;0.462;0.429;0.423;0.423;0.350;0.458;0.391;0.636;0.286;0.211;0.476;0.368;0.263;0.360;0.450;0.158;0.368;0.273;0.381;0.375;0.318;0.111;0.286;0.556;0.611;0.318;0.579;0.211;0.600;0.400;0.158;0.391;0.200;0.238;0.211;0.300;0.348;0.211;0.200;0.158;0.222;0.158;0.375;0.440;0.400;0.111;0.222;0.158;0.111;0.250;0.333;0.304;0.238;0.286;0.423;0.435;0.111;0.118;0.609;0.316;0.684;0.458;0.480;0.348;0.375;0.200;0.211;0.500;0.385;0.400;0.158;0.304;0.333;0.222;0.158;0.263;0.059;0.235;0.111;0.440;0.273;0.348;0.417;0.059;0.158;0.481;0.647;0.615;0.407;0.200;0.409;0.211;0.300;0.211;0.480;0.400;0.529;0.417;0.375;0.421;0.636;0.278;0.222;0.609;0.360;0.263;0.480;0.381;0.211;0.524;0.440;0.471;0.400;0.440;0.435;0.238;0.500;0.636;0.500;0.111;0.480;0.263;0.286;0.381;0.375;0.400;0.647;0.304;0.350;0.318;0.238;0.391;0.333;0.304
