"class";"fr_Al_COO";"fr_Al_OH";"fr_Al_OH_noTert";"fr_ArN";"fr_Ar_COO";"fr_Ar_N";"fr_Ar_NH";"fr_Ar_OH";"fr_COO";"fr_COO2";"fr_C_O";"fr_C_O_noCOO";"fr_C_S";"fr_HOCCN";"fr_Imine";"fr_NH0";"fr_NH1";"fr_NH2";"fr_N_O";"fr_Ndealkylation1";"fr_Ndealkylation2";"fr_Nhpyrrole";"fr_alkyl_carbamate";"fr_alkyl_halide";"fr_allylic_oxid";"fr_amide";"fr_amidine";"fr_aniline";"fr_aryl_methyl";"fr_barbitur";"fr_benzene";"fr_benzodiazepine";"fr_bicyclic";"fr_dihydropyridine";"fr_epoxide";"fr_ester";"fr_ether";"fr_furan";"fr_guanido";"fr_halogen";"fr_hdrzine";"fr_hdrzone";"fr_imidazole";"fr_imide";"fr_ketone";"fr_ketone_Topliss";"fr_lactam";"fr_lactone";"fr_methoxy";"fr_morpholine";"fr_nitrile";"fr_nitro";"fr_nitro_arom";"fr_nitro_arom_nonortho";"fr_oxazole";"fr_oxime";"fr_para_hydroxylation";"fr_phenol";"fr_phenol_noOrthoHbond";"fr_phos_acid";"fr_phos_ester";"fr_piperdine";"fr_piperzine";"fr_priamide";"fr_pyridine";"fr_quatN";"fr_sulfide";"fr_sulfonamd";"fr_sulfone";"fr_term_acetylene";"fr_tetrazole";"fr_thiazole";"fr_thiophene";"fr_unbrch_alkane";"fr_urea";"qed";"MolWt";"FractionCSP3";"HeavyAtomCount";"NumAliphaticCarbocycles";"NumAliphaticHeterocycles";"NumAliphaticRings";"NumAromaticCarbocycles";"NumAromaticHeterocycles";"NumAromaticRings";"NumHAcceptors";"NumHDonors";"NumHeteroatoms";"NumRotatableBonds";"NumSaturatedCarbocycles";"NumSaturatedHeterocycles";"NumSaturatedRings";"RingCount";"MolLogP";"MolMR"
"Approved";0;0;0;0;0;0;0;0;0;0;0.2;0.2;0;0;0;0;0.2;0.3333333333333333;0;0;0;0;0;0;0;0.2;0;0.3333333333333333;0.6666666666666666;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3333333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.7818046905035159;0.08980900580701329;0.36363636363636365;0.21621621621621623;0;0;0;0.25;0;0.16666666666666666;0.13333333333333333;0.13333333333333333;0.15789473684210525;0.09523809523809523;0;0;0;0.14285714285714285;0.46401798954566925;0.20230443988319255
"Approved";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.14285714285714285;0;0;0;0.3333333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4419684317405245;0.18825448540168904;1;0.2702702702702703;0;0.4;0.3333333333333333;0;0;0;0.5333333333333333;0;0.5263157894736842;0.19047619047619047;0;0.5;0.3333333333333333;0.2857142857142857;0.33502512386786965;0.10530752844128229
"Approved";0;0.125;0.14285714285714285;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0.3333333333333333;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2727272727272727;0;0.36789875477260303;0.37056284050010324;0.3333333333333333;0.4594594594594595;0;0;0;0.5;0;0.3333333333333333;0.3333333333333333;0.3333333333333333;0.2631578947368421;0.38095238095238093;0;0;0;0.2857142857142857;0.5058664523386027;0.3994722903892118
"Approved";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0.3333333333333333;0;0.5;0;0;0;0;0;0;0;0;0.08333333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3333333333333333;0;0;0;0;0;0;0;0;0;0.5731811078324074;0.588168771372412;0.3333333333333333;0.4864864864864865;0;0;0;0.5;0;0.3333333333333333;0.2;0;0.3157894736842105;0.19047619047619047;0;0;0;0.2857142857142857;0.5786118235919162;0.4706431582287108
"Approved";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3333333333333333;0;0;0;0;0;0;0;0;0;0;0.6666666666666666;0;0.25;0;0;0;0;0;0.16666666666666666;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3333333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8077168600994847;0.06064155380238199;0.45454545454545453;0.1891891891891892;0;0;0;0.25;0;0.16666666666666666;0.13333333333333333;0.06666666666666667;0.10526315789473684;0.14285714285714285;0;0;0;0.14285714285714285;0.4854394438887317;0.18200736850965826
"Approved";0;0;0;0;0;0.4;1;0;0;0;0.2;0.2;0;0;0;0;0.4;0;0;0;0;1;0;0;0;0;0;0;0.3333333333333333;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0.6655652204410686;0.21556405216439137;0.16666666666666666;0.2972972972972973;0;0;0;0.25;0.3333333333333333;0.3333333333333333;0.2;0.13333333333333333;0.2631578947368421;0.14285714285714285;0;0;0;0.2857142857142857;0.4822712287926149;0.2645340291761913
"Approved";0;0.125;0.14285714285714285;0;0;0;0;0;0;0;0;0;0;1;0;0.2;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0.25;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.8640899870606712;0.44255813744760675;0.7;0.5135135135135135;0.25;0.2;0.3333333333333333;0.25;0;0.16666666666666666;0.3333333333333333;0.06666666666666667;0.2631578947368421;0.3333333333333333;0.25;0.25;0.3333333333333333;0.42857142857142855;0.5151784358981353;0.45643190603531664
"Approved";0.5;0.125;0.14285714285714285;0;0;0;0;0.3333333333333333;0.5;0.5;0.2;0;0;0;0;0;0;0.3333333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.3333333333333333;0.3333333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4265487165556255;0.1367654846208388;0.2222222222222222;0.24324324324324326;0;0;0;0.25;0;0.16666666666666666;0.3333333333333333;0.3333333333333333;0.3157894736842105;0.14285714285714285;0;0;0;0.14285714285714285;0.3644741502450118;0.15145978075770103
"Approved";0.5;0.25;0.2857142857142857;0;0;0;0;0;0.5;0.5;0.4;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.36363636363636365;0;0.3303586843221775;0.45381315239146647;0.8;0.5135135135135135;0.25;0;0.16666666666666666;0;0;0;0.26666666666666666;0.2;0.2631578947368421;0.6190476190476191;0.25;0;0.16666666666666666;0.14285714285714285;0.5557736244147179;0.455101948316835
"Approved";0;0;0;0;0;0.4;0.5;0;0;0;0;0;0;0;0;0.4;0.2;0;0;0;0;0.5;0;0;0;0;0;0;0.3333333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.8173146062989256;0.13235637290539148;0.08333333333333333;0.2702702702702703;0;0;0;0;0.6666666666666666;0.3333333333333333;0.2;0.06666666666666667;0.21052631578947367;0.047619047619047616;0;0;0;0.2857142857142857;0.4653734329206357;0.21234451991375441
